STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
41,059,950900,41059950900,9509,Census Tract 9509,G5020,S,63718175,5631990,+45.8862034,-119.3879894
41,059,951100,41059951100,9511,Census Tract 9511,G5020,S,54368526,99014,+45.7983412,-119.3644400
41,059,950800,41059950800,9508,Census Tract 9508,G5020,S,82739386,11386245,+45.8969238,-119.2343375
41,059,950100,41059950100,9501,Census Tract 9501,G5020,S,940942589,167931,+45.8588100,-118.2000793
41,059,951000,41059951000,9510,Census Tract 9510,G5020,S,57895300,0,+45.8391620,-119.3767555
41,059,950400,41059950400,9504,Census Tract 9504,G5020,S,1121186395,13111757,+45.8465692,-118.8347809
41,071,030400,41071030400,304,Census Tract 304,G5020,S,521604743,867281,+45.3601119,-123.2813130
41,071,030900,41071030900,309,Census Tract 309,G5020,S,136702361,3246633,+45.1664441,-123.0647432
41,071,031000,41071031000,310,Census Tract 310,G5020,S,133964427,94538,+45.1263436,-123.1708423
41,071,030702,41071030702,307.02,Census Tract 307.02,G5020,S,4038029,0,+45.2007756,-123.2176953
41,071,030801,41071030801,308.01,Census Tract 308.01,G5020,S,3120393,0,+45.2204487,-123.1887422
41,071,030802,41071030802,308.02,Census Tract 308.02,G5020,S,3174380,0,+45.1993167,-123.1953953
41,071,030501,41071030501,305.01,Census Tract 305.01,G5020,S,316634351,160368,+45.1878958,-123.3841287
41,071,030202,41071030202,302.02,Census Tract 302.02,G5020,S,5280931,175840,+45.2929716,-122.9636086
41,071,030502,41071030502,305.02,Census Tract 305.02,G5020,S,391610582,158007,+45.1374947,-123.6228863
41,071,030701,41071030701,307.01,Census Tract 307.01,G5020,S,5868065,0,+45.2202367,-123.2137503
41,071,030201,41071030201,302.01,Census Tract 302.01,G5020,S,3452501,0,+45.3072237,-122.9634448
41,071,030302,41071030302,303.02,Census Tract 303.02,G5020,S,73907477,26401,+45.3430942,-123.0422741
41,071,030102,41071030102,301.02,Census Tract 301.02,G5020,S,11600273,9807,+45.3189290,-122.9777158
41,071,030602,41071030602,306.02,Census Tract 306.02,G5020,S,77547351,45846,+45.2287310,-123.2397027
41,071,030601,41071030601,306.01,Census Tract 306.01,G5020,S,45490506,67615,+45.1927379,-123.1709104
41,071,030101,41071030101,301.01,Census Tract 301.01,G5020,S,51592934,999924,+45.2991058,-122.9141815
41,071,030301,41071030301,303.01,Census Tract 303.01,G5020,S,68479622,577547,+45.2868164,-123.0553698
41,059,940000,41059940000,9400,Census Tract 9400,G5020,S,645539075,0,+45.6463778,-118.5461159
41,059,951200,41059951200,9512,Census Tract 9512,G5020,S,21026709,0,+45.8352316,-119.2695173
41,059,951300,41059951300,9513,Census Tract 9513,G5020,S,226635914,6023399,+45.7945186,-119.1849942
41,059,950300,41059950300,9503,Census Tract 9503,G5020,S,506277505,47032,+45.8971282,-118.5623225
41,059,950600,41059950600,9506,Census Tract 9506,G5020,S,53866388,4518810,+45.5982472,-118.7740867
41,057,960200,41057960200,9602,Census Tract 9602,G5020,S,56732280,8270047,+45.5998568,-123.9171119
41,057,960300,41057960300,9603,Census Tract 9603,G5020,S,385818784,7839277,+45.6029543,-123.6922481
41,057,960700,41057960700,9607,Census Tract 9607,G5020,S,657651481,17629930,+45.3049758,-123.7147467
41,057,960100,41057960100,9601,Census Tract 9601,G5020,S,550022296,15956983,+45.7239552,-123.7036732
41,057,960400,41057960400,9604,Census Tract 9604,G5020,S,730559740,25898,+45.4904049,-123.5779366
41,057,960500,41057960500,9605,Census Tract 9605,G5020,S,33169875,29142293,+45.4930828,-123.9211157
41,057,960600,41057960600,9606,Census Tract 9606,G5020,S,89423780,19470256,+45.4141298,-123.9195238
41,057,990100,41057990100,9901,Census Tract 9901,G5020,S,0,486155447,+45.4193761,-124.0121155
41,057,960800,41057960800,9608,Census Tract 9608,G5020,S,352290719,11682367,+45.1311965,-123.8729035
41,039,000404,41039000404,4.04,Census Tract 4.04,G5020,S,78136752,1125950,+44.2009216,-123.1814139
41,029,002800,41029002800,28,Census Tract 28,G5020,S,264163343,2245408,+42.5082463,-122.9773832
41,029,002900,41029002900,29,Census Tract 29,G5020,S,620209994,584635,+42.5853847,-123.1092614
41,029,001700,41029001700,17,Census Tract 17,G5020,S,17621790,39720,+42.2390192,-122.7865747
41,029,000602,41029000602,6.02,Census Tract 6.02,G5020,S,11516546,12206,+42.2987521,-122.8214645
41,029,000700,41029000700,7,Census Tract 7,G5020,S,14222150,16509,+42.2981088,-122.8833887
41,029,000800,41029000800,8,Census Tract 8,G5020,S,16078643,0,+42.3228485,-122.9201690
41,029,001200,41029001200,12,Census Tract 12,G5020,S,18796691,21085,+42.3737964,-122.8530405
41,029,001302,41029001302,13.02,Census Tract 13.02,G5020,S,95610135,1049160,+42.3730446,-122.7793008
41,029,001500,41029001500,15,Census Tract 15,G5020,S,85502407,11345,+42.3147850,-123.0054741
41,029,001301,41029001301,13.01,Census Tract 13.01,G5020,S,36314453,639300,+42.4209174,-122.8497893
41,029,000300,41029000300,3,Census Tract 3,G5020,S,4105233,40123,+42.3515992,-122.8890438
41,029,001100,41029001100,11,Census Tract 11,G5020,S,53308179,1763271,+42.4193191,-122.9519867
41,029,000601,41029000601,6.01,Census Tract 6.01,G5020,S,9431975,0,+42.3243863,-122.8152678
41,029,002500,41029002500,25,Census Tract 25,G5020,S,1476198402,11786168,+42.2119584,-122.5228456
41,029,002100,41029002100,21,Census Tract 21,G5020,S,12182796,1064,+42.1839870,-122.7407313
41,029,002200,41029002200,22,Census Tract 22,G5020,S,10856523,874,+42.1664082,-122.6911328
41,029,000900,41029000900,9,Census Tract 9,G5020,S,29742949,79734,+42.3707962,-122.9413626
41,029,002400,41029002400,24,Census Tract 24,G5020,S,46906682,2608498,+42.2208408,-122.7099598
41,029,002700,41029002700,27,Census Tract 27,G5020,S,658404184,1905018,+42.6891399,-122.7870956
41,029,003001,41029003001,30.01,Census Tract 30.01,G5020,S,245632757,461092,+42.3380481,-123.0844979
41,029,001800,41029001800,18,Census Tract 18,G5020,S,11327103,1162,+42.1986480,-122.6936618
41,029,000203,41029000203,2.03,Census Tract 2.03,G5020,S,1419295,0,+42.3156570,-122.8819249
